radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,2,691,13901,0,9.978564,49.986036,26338,2000,1,1291098854,1569158198,0
GSM,262,2,691,6411,0,9.920307,49.97371,22204,2000,1,1291099268,1569158497,0
GSM,262,2,308,272,0,13.343997,52.477369,4224,2000,1,1302797070,1569133509,0
GSM,262,2,323,15761,0,13.19194,52.533074,6396,2000,1,1302799845,1569174383,0
GSM,262,2,318,29131,0,13.413187,52.540826,2823,1999,1,1302805021,1569170881,0
GSM,262,2,318,41753,0,13.409582,52.546079,3175,2000,1,1302805021,1569162658,0
GSM,262,1,14116,31530,0,13.437528,52.546999,8107,1994,1,1302805021,1569170676,0
GSM,262,2,301,2042,0,13.109191,52.70862,12976,2000,1,1302841842,1569174986,0
GSM,262,1,14118,4774,0,13.238065,52.550305,5145,2000,1,1302845231,1569121336,0
GSM,262,2,321,15151,0,13.285087,52.530989,4977,2000,1,1302845958,1569148166,0
GSM,262,2,321,14403,0,13.325926,52.526443,4264,2000,1,1302847531,1569113665,0
GSM,262,2,323,53,0,13.336061,52.536945,3540,2000,1,1302847531,1569146630,0
GSM,262,2,321,14401,0,13.330837,52.535763,2449,2000,1,1302847531,1569113665,0
GSM,262,2,309,2791,0,12.965449,52.479179,24083,2000,1,1302849227,1569125454,0
GSM,262,2,321,15162,0,13.325428,52.530611,4167,2000,1,1302885296,1569113665,0
GSM,262,2,317,11952,0,13.57729,52.547271,7255,2000,1,1302887113,1569150763,0
GSM,262,2,317,37172,0,13.580954,52.548398,3787,2000,1,1302887113,1569146904,0
GSM,262,2,323,54531,0,13.217841,52.526133,8945,2000,1,1302890987,1569121335,0
GSM,262,2,321,10273,0,13.305214,52.543321,8126,2000,1,1302890987,1569162214,0
GSM,262,2,323,692,0,13.234522,52.5257,5056,2000,1,1302944360,1569121335,0
GSM,262,2,323,15772,0,13.22328,52.526612,4012,2000,1,1302950412,1569121335,0
GSM,262,2,323,371,0,13.26262,52.523361,8560,2000,1,1302950412,1569138277,0
GSM,262,2,323,2061,0,13.24726,52.661343,22754,2000,1,1303106044,1569131981,0
GSM,262,2,321,15163,0,13.3025,52.529067,9681,2000,1,1303191876,1569113665,0
GSM,262,1,14119,14184,0,13.304276,52.564284,6956,2000,1,1303228523,1569155727,0
GSM,262,2,321,36933,0,13.324435,52.537769,4756,2000,1,1303230365,1569173271,0
GSM,262,2,318,29343,0,13.440621,52.538376,29741,2000,1,1303309396,1569170676,0
GSM,262,1,14116,25683,0,13.445152,52.535129,29283,2000,1,1303309396,1569170676,0
GSM,262,2,318,29663,0,13.443806,52.527608,2787,2000,1,1303309396,1569170505,0
GSM,262,2,318,1543,0,13.452598,52.529066,3531,2000,1,1303309396,1569163182,0
GSM,262,1,14116,10207,0,13.452761,52.529825,4088,2000,1,1303310122,1569170505,0
GSM,262,2,318,55001,0,13.434027,52.538039,29901,2000,1,1303310122,1569170676,0
GSM,262,1,14116,28723,0,13.459239,52.56354,7731,2000,1,1303310122,1569141990,0
GSM,262,2,318,29423,0,13.450258,52.534605,2556,2000,1,1303310122,1569170505,0
GSM,262,2,318,14472,0,13.43138,52.542479,7925,1998,1,1303311574,1569170676,0
GSM,262,1,14116,33430,0,13.459761,52.529008,3997,2000,1,1303311574,1569170505,0
GSM,262,1,14116,48008,0,13.426294,52.55333,11770,2000,1,1303312098,1569170881,0
GSM,262,2,318,29413,0,13.433369,52.54287,7842,1999,1,1303312098,1569170676,0
GSM,262,2,318,29412,0,13.443078,52.546517,4287,2000,1,1303312098,1569170676,0
GSM,262,1,14116,58492,0,13.453681,52.552818,11123,2000,1,1303312098,1569139227,0
GSM,262,2,318,29351,0,13.436712,52.545526,6901,2000,1,1303312784,1569170676,0
GSM,262,1,14116,4725,0,13.446819,52.538652,7928,2000,1,1303312784,1569170676,0
GSM,262,1,14116,63821,0,13.423384,52.566901,7053,2000,1,1303313874,1569151323,0
GSM,262,2,318,41602,0,13.435917,52.558951,7285,2000,1,1303313874,1569141990,0
GSM,262,1,14116,36322,0,13.419522,52.562566,9622,2000,1,1303313874,1569162621,0
GSM,262,1,14116,58948,0,13.437259,52.56122,7911,2000,1,1303313874,1569141990,0
GSM,262,2,318,41601,0,13.433229,52.578956,8358,1999,1,1303313874,1569141990,0
GSM,262,2,318,11643,0,13.460051,52.562899,2928,2000,1,1303313874,1569138831,0
GSM,262,1,14116,58491,0,13.437017,52.582339,9439,2000,1,1303313874,1569141990,0
GSM,262,1,14116,14241,0,13.442432,52.55907,3931,2000,1,1303313874,1569141990,0
GSM,262,1,14116,28724,0,13.425053,52.566345,10537,2000,1,1303313874,1569138678,0
GSM,262,1,14116,52097,0,13.45955,52.561718,3872,2000,1,1303313874,1569138831,0
GSM,262,1,14116,58946,0,13.428001,52.579323,9362,2000,1,1303313874,1569152909,0
GSM,262,2,301,17222,0,12.923763,52.685078,12245,2000,1,1303317080,1569175724,0
GSM,262,2,301,17221,0,12.911822,52.762831,21014,2000,1,1303317080,1569130698,0
GSM,262,1,14118,52884,0,12.935435,52.708596,12167,2000,1,1303317080,1569130698,0
GSM,262,2,301,2913,0,12.930228,52.734615,20684,2000,1,1303317080,1569168510,0
GSM,262,2,301,9192,0,12.839557,52.762622,17675,2000,1,1303317080,1569168951,0
GSM,262,1,14118,30269,0,12.910804,52.701397,14790,2000,1,1303317080,1569130698,0
GSM,262,1,14118,39023,0,12.902119,52.718768,24804,2000,1,1303317080,1569130698,0
GSM,262,2,301,5901,0,12.926411,52.679381,7270,2000,1,1303318838,1569141783,0
GSM,262,2,301,17401,0,12.50877,53.08801,29402,2000,1,1303320171,1569177978,0
GSM,262,2,301,17403,0,12.509094,53.071122,19591,2000,1,1303320171,1569170663,0
GSM,262,1,5949,23777,0,10.33424,53.578542,5943,2000,1,1303326828,1569178606,0
GSM,262,1,5949,23774,0,10.337471,53.580215,13529,2000,1,1303326828,1569178214,0
GSM,262,1,5949,16809,0,10.344113,53.552295,31992,2000,1,1303327917,1569178289,0
GSM,262,1,1862,49260,0,9.917272,53.578279,6491,2000,1,1303329248,1569122489,0
GSM,262,1,1856,22211,0,9.96464,53.566919,10268,2000,1,1303329248,1569113955,0
GSM,262,1,5986,42639,0,9.712374,53.581794,14536,1999,1,1303370156,1569153002,0
GSM,262,2,404,25232,0,9.712685,53.581505,14264,2000,1,1303371971,1569153001,0
GSM,262,1,5986,55600,0,9.72462,53.581666,12134,2000,1,1303371971,1569153002,0
GSM,262,1,5986,55602,0,9.695066,53.580116,16551,1999,1,1303372092,1569153002,0
GSM,262,1,5986,11884,0,9.737525,53.573702,25341,2000,1,1303372092,1569152701,0
GSM,262,1,5986,36623,0,9.708724,53.577055,15953,2000,1,1303372092,1569152520,0
GSM,262,2,404,5251,0,9.703224,53.58286,5414,2000,1,1303372092,1569153001,0
GSM,262,1,5986,36621,0,9.709413,53.581261,16433,1999,1,1303372092,1569153002,0
GSM,262,1,5986,55601,0,9.701973,53.511444,13221,2000,1,1303372092,1569152520,0
GSM,262,1,5986,46587,0,9.775393,53.463671,17659,2000,1,1303376571,1569152537,0
GSM,262,1,1862,3542,0,9.847669,53.599836,10989,2000,1,1303376571,1569133026,0
GSM,262,1,5986,36624,0,9.705662,53.584482,14249,1999,1,1303376571,1569153002,0
GSM,262,1,5986,31823,0,9.772328,53.462494,16782,2000,1,1303376571,1569153457,0
GSM,262,2,413,44683,0,9.796053,53.613506,22253,2000,1,1303376571,1569153768,0
GSM,262,2,404,25381,0,9.702679,53.481421,14303,2000,1,1303376571,1569152520,0
GSM,262,1,5986,11141,0,9.726057,53.582923,4066,1999,1,1303376571,1569153002,0
GSM,262,1,14115,60463,0,13.37945,52.447259,7992,2000,1,1303411552,1569138963,0
GSM,262,1,5986,42655,0,9.694219,53.588844,26465,1998,1,1303413852,1569153002,0
GSM,262,1,5986,36620,0,9.704983,53.58764,11751,2000,1,1303459021,1569153002,0
GSM,262,2,404,31491,0,9.710613,53.593958,8946,2000,1,1303461295,1569152852,0
GSM,262,2,317,1523,0,13.423087,52.51902,10155,2000,1,1303470977,1569140149,0
GSM,262,2,318,14532,0,13.419438,52.526552,6200,1999,1,1303471098,1569125262,0
GSM,262,2,318,14533,0,13.413555,52.527159,3862,2000,1,1303471098,1569125398,0
GSM,262,2,318,14531,0,13.413741,52.530004,3554,2000,1,1303471098,1569125262,0
GSM,262,2,317,1521,0,13.423174,52.523055,4847,2000,1,1303471340,1569140149,0
GSM,262,2,563,2111,0,9.892063,51.628128,9565,2000,1,1303478724,1569175728,0
GSM,262,2,301,1711,0,13.021563,52.599539,14461,2000,1,1303482718,1569120504,0
GSM,262,2,301,12211,0,12.98714,52.613204,21668,2000,1,1303482718,1569120055,0
GSM,262,2,301,33251,0,12.975814,52.579983,15939,2000,1,1303482718,1569120571,0
GSM,262,2,301,2972,0,12.911473,52.59036,12364,2000,1,1303482718,1569142577,0
GSM,262,1,5986,55641,0,9.721176,53.581445,4551,1999,1,1303508375,1569152852,0
GSM,262,2,305,2123,0,13.75855,52.846905,17790,2000,1,1303545652,1569157595,0
GSM,262,2,305,16642,0,13.772873,52.847485,18790,2000,1,1303546015,1569155138,0
GSM,262,1,14116,52089,0,13.470947,52.543554,9904,2000,1,1303546105,1569139227,0
GSM,262,1,14116,10232,0,13.490572,52.532496,4788,2000,1,1303546105,1569163086,0
GSM,262,2,305,2190,0,13.572856,52.778555,18558,2000,1,1303558725,1569158994,0
GSM,262,3,20493,7913,0,13.593403,52.690143,10448,2000,1,1303558725,1569149323,0
GSM,262,2,301,9513,0,12.762374,52.911105,13651,2000,1,1303583660,1569127937,0
GSM,262,2,380,4421,0,11.251732,52.18802,20664,2000,1,1303590922,1569177952,0
GSM,262,2,321,14101,0,13.27009,52.508651,3441,2000,1,1303724659,1569116920,0
GSM,262,1,1855,2802,0,10.047676,53.552022,2666,2000,1,1303726597,1569158574,0
GSM,262,1,1855,2800,0,10.065429,53.552378,9013,2000,1,1303726597,1569156099,0
GSM,262,1,1855,36671,0,10.051795,53.55421,7176,2000,1,1303726597,1569156306,0
GSM,262,1,1855,55496,0,10.076628,53.554657,5142,2000,1,1303726597,1569115222,0
GSM,262,1,1855,37706,0,10.061307,53.551318,6726,2000,1,1303726597,1569156099,0
GSM,262,2,413,12082,0,10.039812,53.559937,9805,2000,1,1303726597,1569158267,0
GSM,262,2,387,52741,0,11.697582,53.373365,19522,2000,1,1303730713,1569173472,0
GSM,262,1,14112,45950,0,13.474468,52.615891,7447,2000,1,1303738792,1569142621,0
GSM,262,2,318,11391,0,13.449626,52.610558,7791,2000,1,1303738792,1569147965,0
GSM,262,2,305,11122,0,13.465386,52.611437,7949,2000,1,1303738792,1569142766,0
GSM,262,1,14112,36889,0,13.454991,52.614471,7499,2000,1,1303738792,1569147965,0
GSM,262,1,14112,33204,0,13.44348,52.598945,5495,2000,1,1303738792,1569147965,0
GSM,262,1,14112,20218,0,13.437331,52.606484,8136,2000,1,1303738792,1569142717,0
GSM,262,2,305,11121,0,13.45277,52.623783,6692,2000,1,1303738792,1569142766,0
GSM,262,2,318,11311,0,13.429249,52.601703,6486,2000,1,1303738792,1569142717,0
GSM,262,1,14112,20302,0,13.453165,52.59293,5775,1999,1,1303738792,1569147965,0
GSM,262,2,318,1341,0,13.421953,52.604788,5942,2000,1,1303738792,1569142717,0
GSM,262,2,305,33223,0,13.459062,52.608311,6594,2000,1,1303738792,1569151948,0
GSM,262,1,14119,14230,0,13.429206,52.600463,7920,2000,1,1303739792,1569142717,0
GSM,262,2,305,11092,0,13.49019,52.620079,6020,2000,1,1303739792,1569142858,0
GSM,262,1,14112,59208,0,13.478786,52.570532,11641,2000,1,1303739792,1569142324,0
GSM,262,2,318,11392,0,13.458999,52.589368,6306,2000,1,1303742092,1569147965,0
GSM,262,2,318,1342,0,13.43109,52.591966,7389,2000,1,1303742092,1569147965,0
GSM,262,2,305,1203,0,13.487122,52.625274,8086,2000,1,1303743181,1569142858,0
GSM,262,1,14116,28721,0,13.437496,52.586809,7527,1999,1,1303744029,1569147965,0
GSM,262,2,318,11393,0,13.438436,52.589527,5413,2000,1,1303745603,1569142324,0
GSM,262,1,14116,56091,0,13.461212,52.563876,9758,2000,1,1303745724,1569141675,0
GSM,262,1,14119,3736,0,13.371076,52.556278,2267,2000,1,1303804185,1569162348,0
GSM,262,2,323,373,0,13.251722,52.511252,4834,1999,1,1303814538,1569138133,0
GSM,262,2,321,10091,0,13.278126,52.500602,9772,2000,1,1303891331,1569138458,0
GSM,262,2,321,28312,0,13.270745,52.500623,3779,2000,1,1303891452,1569118016,0
GSM,262,2,321,10093,0,13.268982,52.494753,9285,2000,1,1303891452,1569119770,0
GSM,262,1,14112,59207,0,13.546021,52.567589,27549,2000,1,1304171378,1569174018,0
GSM,262,2,317,29102,0,13.52691,52.570198,8713,2000,1,1304171378,1569146670,0
GSM,262,1,14112,45954,0,13.548887,52.561814,9340,1999,1,1304173809,1569146670,0
GSM,262,1,14112,19130,0,13.553321,52.553299,3266,1999,1,1304173809,1569124264,0
GSM,262,1,14112,19230,0,13.54058,52.549299,3104,1999,1,1304173809,1569124444,0
GSM,262,2,317,11183,0,13.546123,52.557428,9125,2000,1,1304173809,1569174018,0
GSM,262,2,317,37151,0,13.545826,52.554265,9428,1999,1,1304173809,1569146682,0
GSM,262,2,317,57533,0,13.550858,52.554263,7776,2000,1,1304173809,1569147063,0
GSM,262,2,317,1391,0,13.563269,52.550164,11411,2000,1,1304173809,1569147063,0
GSM,262,1,14112,56001,0,13.55982,52.554373,5040,1999,1,1304173809,1569146904,0
GSM,262,1,14112,48570,0,13.564114,52.549397,10055,2000,1,1304173809,1569124264,0
GSM,262,1,14112,39697,0,13.570239,52.542801,4108,2000,1,1304173809,1569123907,0
GSM,262,2,317,1402,0,13.537161,52.54288,4033,2000,1,1304173809,1569124444,0
GSM,262,1,14116,61844,0,13.536165,52.535402,3877,2000,1,1304173809,1569124444,0
GSM,262,2,318,1541,0,13.456221,52.532143,8706,2000,1,1304177620,1569163182,0
GSM,262,2,318,1542,0,13.46029,52.528726,6146,2000,1,1304177620,1569163086,0
GSM,262,2,318,29661,0,13.449575,52.533583,3579,2000,1,1304177620,1569170505,0
GSM,262,1,14116,25680,0,13.455259,52.531446,6568,2000,1,1304177620,1569170505,0
GSM,262,2,317,15683,0,13.467479,52.532594,6767,2000,1,1304177620,1569163086,0
GSM,262,1,14116,20679,0,13.465006,52.531237,6742,2000,1,1304177620,1569163182,0
GSM,262,1,14116,10208,0,13.456178,52.527673,6165,2000,1,1304177620,1569170505,0
GSM,262,2,517,16563,0,10.399707,52.330445,19250,2000,1,1304323040,1569144659,0
GSM,262,2,380,4270,0,11.439582,51.937177,27968,2000,1,1304342725,1569178475,0
GSM,262,2,323,412,0,13.306104,52.547326,5597,2000,1,1304343865,1569120150,0
GSM,262,2,321,15153,0,13.281405,52.52316,4217,2000,1,1304516748,1569119994,0
GSM,262,1,5126,427,0,13.358536,52.499499,3320,2000,1,1304627364,1569150042,0
GSM,262,2,314,10103,0,13.44149,52.465943,6841,2000,1,1304784457,1569138207,0
GSM,262,2,314,10982,0,13.451094,52.460688,17362,2000,1,1304784457,1569138389,0
GSM,262,2,314,37721,0,13.441766,52.460857,7259,2000,1,1304784457,1569138389,0
GSM,262,2,368,301,0,11.919035,51.009668,19056,2000,1,1304926847,1569173588,0
GSM,262,2,368,16130,0,11.842774,50.937733,30724,2000,1,1304928197,1569173995,0
GSM,262,2,890,59532,0,11.734993,48.163852,3922,1999,1,1305010693,1569177802,0
GSM,262,2,369,18792,0,11.786698,50.429261,25518,2000,1,1305211720,1569176553,0
GSM,262,2,309,54873,0,12.730041,52.135569,19256,2000,1,1305217993,1569167444,0
GSM,262,2,309,2620,0,12.862353,52.182007,21721,2000,1,1305218053,1569166997,0
GSM,262,2,309,3842,0,12.617398,52.139609,18361,2000,1,1305218053,1569117524,0
GSM,262,2,318,29342,0,13.451103,52.537979,2535,2000,1,1305308950,1569163086,0
GSM,262,1,14116,56090,0,13.461831,52.550356,4227,2000,1,1305308950,1569139227,0
GSM,262,1,5127,7310,0,13.250119,52.514131,30046,315,1,1305371367,1569117256,0
GSM,262,1,5127,40190,0,13.260668,52.51223,88531,1577,1,1305371367,1569138133,0
GSM,262,1,5127,40211,0,13.248903,52.508702,30199,1147,1,1305371367,1569138133,0
GSM,262,2,323,28092,0,13.247549,52.507612,4371,2000,1,1305371367,1569118037,0
GSM,262,2,323,28091,0,13.257793,52.510333,5784,2000,1,1305371367,1569118037,0
GSM,262,2,323,10711,0,13.247552,52.513839,30380,395,1,1305371367,1569138133,0
GSM,262,1,5127,24797,0,13.257814,52.519754,9293,2000,1,1305371367,1569125388,0
GSM,262,1,5127,10958,0,13.267311,52.502285,7724,2000,1,1305371367,1569118016,0
